"Add New Notification","Añadir Notificación nueva"
"Notification","Notificación"
"Event","Evento"
"Please Select Event","Selección de Evento"
"Store Views","Vistas a Tienda "
"Continue","Continuar"
"Save and Continue Edit","Guardar y continuar editando"
,
"Add New Notification for Event '%s'","Añadir Notificación de Evento Nueva a '%s'"
"Notification","Notificación"
"From","De"
"This is who your message will show as being from on the receiving handset e.g. Mystore.","Este es el emisor del mensaje que se mostrará al receptor en el teléfono, por ejemplo Mitienda."
"Message","Mensaje"
"These counts do not include variables.","No incluyen cambios de las variables dinamicas."
"Reset to Default Message","Restablecer valores predeterminados del Mensaje"
"Available Variables","Variables disponibles"
"For more information about using variables please visit our <a target=""_blank"" href=""%s"">support page</a>","Para obtener más información sobre el uso de las variables por favor visita <a target=""_blank"" href=""%s"">nuestra página de soporte</a>"
"Description","Descripción"
"Status","Estado"
"Enabled","Activado"
"Disabled","Desactivado"
"Save Notification","Guardar Notificación"
,
"Edit Notification '%s' for event '%s'","Editar Notificación '%s' para el evento '%s'"
"Delete Notification","Eliminar Notificación"
,
"Please select the Event Type","Por favor selecciona el tipo de evento"
"Message contains variables which are not available","El mensaje contiene variables que no están disponibles"
"Message must be between 1 and 612 characters","El mensaje debe contener entre 1 y 612 caracteres"
,
"Manage Notifications","Administrar Notificaciones existentes"
,
"Id","Identificación"
"Event","Evento"
"Description","Descripción"
"Status","Estado"
"Store Views","Vistas a Tienda "
"From","De"
"Created at","Creado"
"Updated at","Actualizado"
"Action","Acción"
,
"Add Notification","Añadir Notificación"
"Edit","Editar"
"Delete","Borrar"
"Change status","Cambio de estado"
"Are you sure?","Estás seguro?"
,
"Add Mobile Sales Report","Añadir Informe de Ventas Móvil"
,
"Save Mobile Sales Report","Guardar Informe de Ventas Móvil"
"Admin Sales Report","Admin de Informe de Ventas"
,
"Add New Mobile Sales Report","Añadir Nuevo Informe de Ventas Móvil"
"Admin Sales Report","Admin de Informe de Ventas "
,
"Admin Sales Report' specific fields","Campos específicos del Informe de Ventas"
"Recipients","Destinatarios"
"Enter one mobile number per line. To send internationally please add the country code e.g. +447875123456","Introduce un número de móvil por línea. Para enviar de forma internacional hay que añadir el código de país, por ejemplo +447875123456"
"Frequency","Frecuencia"
"Daily","Diario"
"Weekly","Semanal"
"Monthly","Mensual"
"Start Date","Fecha de Inicio"
"Should be a date in the future","Debe ser una fecha en el futuro"
,
"Edit Mobile Sales Report '%s'","Editar el Informe de Ventas Móvil '%s'"
"Delete Mobile Sales Report","Eliminar Informe de Ventas Móvil"
,
"The Sender ID must be between 1 and 11 characters when it contains letters, numbers, spaces and special characters (* $ ? ! ” # % & _ - , . @ ' +), or between 5 and 20 when it contains just numbers.","La identificación del remitente debe tener entre 1 y 11 caracteres cuando contiene letras, números, espacios y caracteres especiales (* $ ""#% & _ -., @ '+). O entre 5 y 20 cuando contiene sólo números."
,
"Sent Messages","Mensajes enviados"
,
"Type","Tipo"
"From","De"
"Recipient","Destinatario"
"Summary","Resumen"
"Status","Estado"
"Submitted At","Procesado "
"Sent At","Enviado "
"Delivered At","Entregado"
"Last Status At","Último Estado"
,
"Previous page","Pagina anterior"
"Next page","Siguiente página"
"Page","Página"
"of %s pages","de %s páginas"
"View","Vista"
"per page","por página"
"Total %d records found","Total de %d registros encontrados"
,
"characters","caracteres"
"SMS parts","SMS"
,
"Account Number","Número de cuenta"
"Account Type","Tipo de cuenta"
"Credits Remaining","Créditos disponibles"
"Buy message credits","Comprar créditos"
"SMS Marketing","SMS Marketing"
"SMS auto responses","Respuesta automática SMS"
"Download sent items","Descargar los mensajes enviados"
"Help & Support","Soporte Técnico"
"Download all messages","Descargar todos los mensajes"
,
"No Available Variables","No hay variables dinamicas disponibles"
"To receive replies this will need to be set to your virtual mobile number +%s","Para recibir respuestas tendrás que usar tu número de móvil virtual +%s"
"To receive replies you will need to purchase a virtual mobile number","Para recibir respuestas tendrás que comprar un número de móvil virtual"
"Note: To prevent spamming the from address will be ignored for trial accounts. <a href=""%s"">Purchase Credits</a> to upgrade your account","Nota: Para evitar problemas de spam las cuentas de prueba no pueden editar el emisor del mensaje. <a href=""%s"">Compra créditos</a> para actualizar tu cuenta"
,
"Total of %d notifications were successfully updated","Un total del %d de notificaciones se han actualizado correctamente"
"Total of %d notification was successfully updated","Un total del %d de la notificación se ha actualizado"
"There was an error updating notifications","Se ha producido un error al actualizar las notificaciones"
"Please select Notifications","Por favor, selecciona las notificaciones"
"Total of %d notifications were successfully deleted","Un total del %d de notficiaciones se han eliminado correctamente."
"Total of %d notification was successfully deleted","Un total del %d de la notificación se ha eliminado."
"There was an error deleting notifications","Se ha producido un error al eliminar las notificaciones"
"Please select Notifications to delete","Por favor, selecciona las notificaciones que desee eliminar."
"There was an error deleting notification","Se ha producido un error al eliminar la notificación"
"Notification was successfully deleted","La notificación ha sido eliminada correctamente"
"There was a problem saving the notification","Se ha producido un error al guardar la notificación"
"Notification was successfully saved","La notificación se ha guardado correctamente"
"This notification no longer exists","Esta notificación ya no existe"
"Total of %d Admin Sales Reports were successfully updated","Un total del % de informes de ventas se han actualizado correctamente."
"There was an error updating Admin Sales Reports","Se ha producido un error al actualizar los informes de ventas"
"Please select Admin Sales Reports","Por favor, selecciona los Informes de Ventas"
"Total of %d Admin Sales Reports were successfully deleted","Un total del & de los Informes de Ventas se han eliminado correctamente."
"There was an error deleting Admin Sales Reports","Se ha producido un error al eliminar los Informes de Ventas"
"Please select Admin Sales Reports to delete","Por favor, selecciona los Informes de Ventas que desee eliminar"
"There was an error deleting Mobile Sales Report","Se ha producido un error al eliminar los Informes de Venta Móvil"
"Mobile Sales Report was successfully deleted","Los informes de Ventas Móvil se han elimando correctamente."
"There was a problem saving the Mobile Sales Report","Se ha producido un problema al guardar los Informes de Ventas Móvil"
"Mobile Sales Report was successfully saved","Los Informes de Ventas Móvil se han guardado correctamente."
"This Mobile Sales Report no longer exists","Este Informe de Ventas Móvil ya no existe."
"Manage Mobile Sales Reports","Administrar Informes de Ventas Móvil"
"You'll need to enter your Esendex Account details below to send SMS notifications","A continuación, tendrás que introducir los detalles de tu cuenta de Esendex para enviar notificaciones SMS"
"Don't have an Esendex Account? %sCreate a FREE TRIAL account%s - we'll even give you 25 FREE SMS to get you started!","¿No tienes una cuenta de Esendex?  %sCrea una cuenta con nuestra prueba gratuita%s y consigue 25 SMS gratis para empezar"
"Your Esendex Account details were not recognised. Your account may have expired or the details are incorrect","Los datos de tu Cuenta Esendex no se reconocen. Puede que tu cuenta haya caducado o los datos sean incorrectos."
"Please double check your account details or contact our support team at <a href=""mailto:support@esendex.com"">support@esendex.com</a>","Por favor, comprueba los datos de cuenta o contacta con nuestro equipo técnico en:  <a href=""mailto:support@esendex.es"">support@esendex.es</a>"
